vertex,one,Q_one,Q2_one,Q3_one
0,1,10,88,752
1,1,6,48,408
2,1,6,48,408
3,1,10,88,752
4,1,6,48,408
5,1,10,88,752
6,1,6,48,408
7,1,10,88,752
8,1,10,88,752
9,1,6,48,408
10,1,10,88,752
11,1,10,88,752
12,1,6,48,408
13,1,10,88,752
14,1,10,88,752
15,1,10,88,752
16,1,10,88,752
17,1,10,88,752
18,1,14,120,1024
19,1,2,16,136
20,1,2,16,136
21,1,2,16,136
22,1,2,16,136
23,1,2,16,136
24,1,2,16,136
25,1,14,120,1024
26,1,2,16,136
27,1,2,16,136
28,1,2,16,136
29,1,2,16,136
30,1,2,16,136
31,1,2,16,136
32,1,14,120,1024
33,1,2,16,136
34,1,2,16,136
35,1,2,16,136
36,1,2,16,136
37,1,2,16,136
38,1,2,16,136
39,1,14,120,1024
40,1,2,16,136
41,1,2,16,136
42,1,2,16,136
43,1,2,16,136
44,1,2,16,136
45,1,2,16,136
46,1,2,12,100
47,1,2,12,100
48,1,14,120,1024
49,1,2,16,136
50,1,2,16,136
51,1,2,16,136
52,1,2,16,136
53,1,2,16,136
54,1,2,16,136
55,1,14,120,1024
56,1,2,16,136
57,1,2,16,136
58,1,2,16,136
59,1,2,16,136
60,1,2,16,136
61,1,2,16,136
62,1,2,12,100
63,1,2,12,100
64,1,14,120,1024
65,1,2,16,136
66,1,2,16,136
67,1,2,16,136
68,1,2,16,136
69,1,2,16,136
70,1,2,16,136
71,1,14,120,1024
72,1,2,16,136
73,1,2,16,136
74,1,2,16,136
75,1,2,16,136
76,1,2,16,136
77,1,2,16,136
78,1,2,12,100
79,1,2,12,100
80,1,14,120,1024
81,1,2,16,136
82,1,2,16,136
83,1,2,16,136
84,1,2,16,136
85,1,2,16,136
86,1,2,16,136
87,1,14,120,1024
88,1,2,16,136
89,1,2,16,136
90,1,2,16,136
91,1,2,16,136
92,1,2,16,136
93,1,2,16,136
94,1,2,12,100
95,1,2,12,100
96,1,14,120,1024
97,1,2,16,136
98,1,2,16,136
99,1,2,16,136
100,1,2,16,136
101,1,2,16,136
102,1,2,16,136
103,1,14,120,1024
104,1,2,16,136
105,1,2,16,136
106,1,2,16,136
107,1,2,16,136
108,1,2,16,136
109,1,2,16,136
110,1,2,12,100
111,1,2,12,100
112,1,14,120,1024
113,1,2,16,136
114,1,2,16,136
115,1,2,16,136
116,1,2,16,136
117,1,2,16,136
118,1,2,16,136
119,1,14,120,1024
120,1,2,16,136
121,1,2,16,136
122,1,2,16,136
123,1,2,16,136
124,1,2,16,136
125,1,2,16,136
126,1,2,12,100
127,1,2,12,100
128,1,14,120,1024
129,1,2,16,136
130,1,2,16,136
131,1,2,16,136
132,1,2,16,136
133,1,2,16,136
134,1,2,16,136
135,1,14,120,1024
136,1,2,16,136
137,1,2,16,136
138,1,2,16,136
139,1,2,16,136
140,1,2,16,136
141,1,2,16,136
142,1,2,12,100
143,1,2,12,100
144,1,14,120,1024
145,1,2,16,136
146,1,2,16,136
147,1,2,16,136
148,1,2,16,136
149,1,2,16,136
150,1,2,16,136
151,1,14,120,1024
152,1,2,16,136
153,1,2,16,136
154,1,2,16,136
155,1,2,16,136
156,1,2,16,136
157,1,2,16,136
158,1,2,12,100
159,1,2,12,100
160,1,14,120,1024
161,1,2,16,136
162,1,2,16,136
163,1,2,16,136
164,1,2,16,136
165,1,2,16,136
166,1,2,16,136
167,1,14,120,1024
168,1,2,16,136
169,1,2,16,136
170,1,2,16,136
171,1,2,16,136
172,1,2,16,136
173,1,2,16,136
174,1,2,12,100
175,1,2,12,100
176,1,14,120,1024
177,1,2,16,136
178,1,2,16,136
179,1,2,16,136
180,1,2,16,136
181,1,2,16,136
182,1,2,16,136
183,1,14,120,1024
184,1,2,16,136
185,1,2,16,136
186,1,2,16,136
187,1,2,16,136
188,1,2,16,136
189,1,2,16,136
190,1,2,12,100
191,1,2,12,100
